id,epic,role,i_want_to,so_that,acceptance_criteria,status,priority
E01-US001,Authentication & Onboarding,New accountant,Register with email + password,I can access the platform,Email + password required; email format validated; password min 8 chars,backlog,medium
E01-US002,Authentication & Onboarding,New user,Receive email verification link after register,My account is confirmed,Email sent within 1 min; link expires 24h; clicking verifies account,backlog,medium
E01-US003,Authentication & Onboarding,Accountant,Log in with email + password,I get a JWT session,Returns access + refresh token; 401 on wrong credentials,backlog,medium
E01-US004,Authentication & Onboarding,Accountant,Enable TOTP-based MFA,My account is more secure,QR code shown; verify TOTP before enabling; subsequent logins require TOTP,backlog,medium
E01-US005,Authentication & Onboarding,Invited user,Accept a firm invitation via email link,I join without registering separately,Link validates token; user created with correct role; expires in 7 days,backlog,medium
E01-US006,Authentication & Onboarding,Accountant,Log out,My session ends,JWT revoked; subsequent requests with old token return 401,backlog,medium
E01-US007,Authentication & Onboarding,Accountant,Reset password via email,I recover a locked account,Reset email sent; link expires 1h; new password required,backlog,medium
E01-US008,Authentication & Onboarding,User,See a session timeout warning,I don't lose unsaved work,Warning shown 5 min before expiry; auto-extend if active,backlog,medium
E01-US009,Authentication & Onboarding,User,Refresh my access token,I stay logged in during a long session,Refresh endpoint returns new access token; old refresh token single-use,backlog,medium
E01-US010,Authentication & Onboarding,Admin,View all active user sessions,I can revoke compromised sessions,"List shows user, IP, created_at, last_seen; revoke button per session",backlog,medium
E01-US011,Authentication & Onboarding,Firm manager,Invite multiple users at once,I onboard my team quickly,CSV upload of emails; each gets individual invitation email,backlog,medium
E01-US012,Authentication & Onboarding,Accountant,Set my preferred language (NL/EN/FA) during setup,The app is in my language from day one,Preference saved; subsequent logins use that language,backlog,medium
E01-US013,Authentication & Onboarding,Admin,Disable a user account,A departed team member can't log in,Account disabled immediately; existing sessions revoked,backlog,medium
E01-US014,Authentication & Onboarding,User,See what permissions my role has,I understand what I can and can't do,Permissions list visible in My Profile,backlog,medium
E01-US015,Authentication & Onboarding,Admin,View failed login attempts,I can detect brute force attacks,Failed attempts logged; alert after 5 failures in 10 min,backlog,medium
E02-US001,Firm Management,Firm manager,Create a firm profile,My team has a shared workspace,"Name, KVK number, BTW number required; firm created immediately",backlog,medium
E02-US002,Firm Management,Firm manager,Upload a logo,Client portal shows our branding,"PNG/SVG, max 2 MB; displays in header and client emails",backlog,medium
E02-US003,Firm Management,Firm manager,Set a primary brand color,White-label feel for clients,Hex color input; previewed in UI immediately,backlog,medium
